timestamp,provider,model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
2026-04-24T23:26:28.148636,deepseek,deepseek-v4-flash,147,177,324,7e-05
2026-04-24T23:26:35.516432,deepseek,deepseek-v4-flash,237,193,430,8.7e-05
2026-04-24T23:26:38.008933,deepseek,deepseek-v4-flash,232,153,385,7.5e-05
2026-04-24T23:26:43.112236,deepseek,deepseek-v4-flash,236,368,604,0.000136
2026-04-24T23:26:45.725967,deepseek,deepseek-v4-flash,5,148,153,4.2e-05
2026-04-24T23:26:49.175414,deepseek,deepseek-v4-flash,147,240,387,8.8e-05
2026-04-24T23:26:54.561384,deepseek,deepseek-v4-flash,237,134,371,7.1e-05
2026-04-24T23:26:56.613108,deepseek,deepseek-v4-flash,232,132,364,6.9e-05
2026-04-24T23:26:59.308743,deepseek,deepseek-v4-flash,236,164,400,7.9e-05
2026-04-24T23:27:01.465688,deepseek,deepseek-v4-flash,5,122,127,3.5e-05
2026-04-24T23:27:05.564550,deepseek,deepseek-v4-flash,147,296,443,0.000103
2026-04-24T23:27:11.860472,deepseek,deepseek-v4-flash,237,112,349,6.5e-05
2026-04-24T23:27:16.120810,deepseek,deepseek-v4-flash,232,331,563,0.000125
2026-04-24T23:27:19.529330,deepseek,deepseek-v4-flash,236,231,467,9.8e-05
2026-04-24T23:27:22.290733,deepseek,deepseek-v4-flash,5,160,165,4.6e-05
2026-04-24T23:27:26.216655,deepseek,deepseek-v4-flash,147,271,418,9.6e-05
2026-04-24T23:27:32.339765,deepseek,deepseek-v4-flash,237,195,432,8.8e-05
2026-04-24T23:27:37.254352,deepseek,deepseek-v4-flash,232,379,611,0.000139
2026-04-24T23:27:40.457276,deepseek,deepseek-v4-flash,236,227,463,9.7e-05
2026-04-24T23:27:43.525432,deepseek,deepseek-v4-flash,5,185,190,5.3e-05
2026-04-24T23:27:47.651367,deepseek,deepseek-v4-flash,147,282,429,0.0001
2026-04-24T23:27:54.081165,deepseek,deepseek-v4-flash,237,122,359,6.7e-05
2026-04-24T23:27:57.038152,deepseek,deepseek-v4-flash,232,204,436,9e-05
2026-04-24T23:28:01.076070,deepseek,deepseek-v4-flash,236,291,527,0.000115
2026-04-24T23:28:03.301942,deepseek,deepseek-v4-flash,5,125,130,3.6e-05
2026-04-24T23:28:06.689462,deepseek,deepseek-v4-flash,147,235,382,8.6e-05
2026-04-24T23:28:14.024357,deepseek,deepseek-v4-flash,237,294,531,0.000116
2026-04-24T23:28:16.885667,deepseek,deepseek-v4-flash,232,184,416,8.4e-05
2026-04-24T23:28:19.486234,deepseek,deepseek-v4-flash,236,169,405,8e-05
2026-04-24T23:28:21.780636,deepseek,deepseek-v4-flash,5,135,140,3.9e-05
2026-04-24T23:28:27.377774,deepseek,deepseek-v4-flash,147,418,565,0.000138
2026-04-24T23:28:35.471999,deepseek,deepseek-v4-flash,237,170,407,8.1e-05
2026-04-24T23:28:38.858761,deepseek,deepseek-v4-flash,232,244,476,0.000101
2026-04-24T23:28:41.534797,deepseek,deepseek-v4-flash,236,182,418,8.4e-05
2026-04-24T23:28:44.891614,deepseek,deepseek-v4-flash,5,188,193,5.3e-05
2026-04-24T23:28:48.641344,deepseek,deepseek-v4-flash,147,261,408,9.4e-05
2026-04-24T23:28:54.909145,deepseek,deepseek-v4-flash,237,106,343,6.3e-05
2026-04-24T23:28:56.592661,deepseek,deepseek-v4-flash,232,99,331,6e-05
2026-04-24T23:28:58.862600,deepseek,deepseek-v4-flash,236,151,387,7.5e-05
2026-04-24T23:29:00.613666,deepseek,deepseek-v4-flash,5,79,84,2.3e-05
2026-04-24T23:29:03.913273,deepseek,deepseek-v4-flash,147,235,382,8.6e-05
2026-04-24T23:29:12.514186,deepseek,deepseek-v4-flash,237,247,484,0.000102
2026-04-24T23:29:15.755266,deepseek,deepseek-v4-flash,232,222,454,9.5e-05
2026-04-24T23:29:18.479821,deepseek,deepseek-v4-flash,236,183,419,8.4e-05
2026-04-24T23:29:21.709852,deepseek,deepseek-v4-flash,5,218,223,6.2e-05
2026-04-24T23:29:24.504038,deepseek,deepseek-v4-flash,147,183,330,7.2e-05
2026-04-24T23:29:30.997041,deepseek,deepseek-v4-flash,237,202,439,9e-05
2026-04-24T23:29:33.078416,deepseek,deepseek-v4-flash,232,137,369,7.1e-05
2026-04-24T23:29:37.429265,deepseek,deepseek-v4-flash,236,321,557,0.000123
2026-04-24T23:29:39.906339,deepseek,deepseek-v4-flash,5,140,145,4e-05
2026-04-24T23:29:43.117304,deepseek,deepseek-v4-flash,147,223,370,8.3e-05
2026-04-24T23:29:49.647338,deepseek,deepseek-v4-flash,237,134,371,7.1e-05
2026-04-24T23:29:51.432893,deepseek,deepseek-v4-flash,232,107,339,6.2e-05
2026-04-24T23:29:54.267248,deepseek,deepseek-v4-flash,236,209,445,9.2e-05
2026-04-24T23:29:57.169184,deepseek,deepseek-v4-flash,5,175,180,5e-05
2026-04-24T23:30:00.649806,deepseek,deepseek-v4-flash,147,235,382,8.6e-05
2026-04-24T23:30:06.368719,deepseek,deepseek-v4-flash,237,131,368,7e-05
2026-04-24T23:30:08.850406,deepseek,deepseek-v4-flash,232,176,408,8.2e-05
2026-04-24T23:30:11.857051,deepseek,deepseek-v4-flash,236,213,449,9.3e-05
2026-04-24T23:30:15.557467,deepseek,deepseek-v4-flash,5,224,229,6.3e-05
2026-04-24T23:30:19.838890,deepseek,deepseek-v4-flash,147,287,434,0.000101
2026-04-24T23:30:28.274746,deepseek,deepseek-v4-flash,237,180,417,8.4e-05
2026-04-24T23:30:30.437786,deepseek,deepseek-v4-flash,232,138,370,7.1e-05
2026-04-24T23:30:33.848751,deepseek,deepseek-v4-flash,236,252,488,0.000104
2026-04-24T23:30:37.319783,deepseek,deepseek-v4-flash,5,200,205,5.7e-05
2026-04-24T23:30:40.649410,deepseek,deepseek-v4-flash,147,212,359,8e-05
2026-04-24T23:30:46.485237,deepseek,deepseek-v4-flash,237,174,411,8.2e-05
2026-04-24T23:30:48.793956,deepseek,deepseek-v4-flash,232,151,383,7.5e-05
2026-04-24T23:30:51.867322,deepseek,deepseek-v4-flash,236,212,448,9.2e-05
2026-04-24T23:30:54.948143,deepseek,deepseek-v4-flash,5,189,194,5.4e-05
2026-04-24T23:30:59.171921,deepseek,deepseek-v4-flash,147,304,451,0.000106
2026-04-24T23:31:06.697799,deepseek,deepseek-v4-flash,237,178,415,8.3e-05
2026-04-24T23:31:09.428115,deepseek,deepseek-v4-flash,232,182,414,8.3e-05
2026-04-24T23:31:12.457350,deepseek,deepseek-v4-flash,236,186,422,8.5e-05
2026-04-24T23:31:15.268194,deepseek,deepseek-v4-flash,5,143,148,4.1e-05
2026-04-24T23:31:19.378917,deepseek,deepseek-v4-flash,147,288,435,0.000101
2026-04-24T23:31:25.735677,deepseek,deepseek-v4-flash,237,197,434,8.8e-05
2026-04-24T23:31:27.971288,deepseek,deepseek-v4-flash,232,151,383,7.5e-05
2026-04-24T23:31:32.671259,deepseek,deepseek-v4-flash,236,341,577,0.000129
2026-04-24T23:31:35.074809,deepseek,deepseek-v4-flash,5,128,133,3.7e-05
2026-04-24T23:31:39.434872,deepseek,deepseek-v4-flash,147,313,460,0.000108
2026-04-24T23:31:47.287329,deepseek,deepseek-v4-flash,237,215,452,9.3e-05
2026-04-24T23:31:49.113895,deepseek,deepseek-v4-flash,232,108,340,6.3e-05
2026-04-24T23:31:52.424013,deepseek,deepseek-v4-flash,236,209,445,9.2e-05
2026-04-24T23:31:54.864130,deepseek,deepseek-v4-flash,5,132,137,3.8e-05
2026-04-24T23:31:58.551370,deepseek,deepseek-v4-flash,147,242,389,8.8e-05
2026-04-24T23:32:06.675501,deepseek,deepseek-v4-flash,237,250,487,0.000103
2026-04-24T23:32:09.863691,deepseek,deepseek-v4-flash,232,203,435,8.9e-05
2026-04-24T23:32:13.674937,deepseek,deepseek-v4-flash,236,263,499,0.000107
2026-04-24T23:32:16.981646,deepseek,deepseek-v4-flash,5,189,194,5.4e-05
2026-04-24T23:32:22.162527,deepseek,deepseek-v4-flash,147,344,491,0.000117
2026-04-24T23:32:35.734410,deepseek,deepseek-v4-flash,237,632,869,0.00021
2026-04-24T23:32:40.000506,deepseek,deepseek-v4-flash,232,312,544,0.00012
2026-04-24T23:32:44.189846,deepseek,deepseek-v4-flash,236,303,539,0.000118
